Are you self-employed?,Does your employer provide mental health benefits as part of healthcare coverage?,"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?",Do you think that discussing a mental health disorder with your employer would have negative consequences?,Do you think that discussing a physical health issue with your employer would have negative consequences?,Would you feel comfortable discussing a mental health disorder with your coworkers?,Would you feel comfortable discussing a mental health disorder with your direct supervisor(s)?,Do you feel that your employer takes mental health as seriously as physical health?,Have you heard of or observed negative consequences for co-workers who have been open about mental health issues in your workplace?,"If you have been diagnosed or treated for a mental health disorder, do you ever reveal this to coworkers or employees?",Do you believe your productivity is ever affected by a mental health issue?,Would you be willing to bring up a physical health issue with a potential employer in an interview?,Why or why not?,Would you bring up a mental health issue with a potential employer in an interview?,Why or why not?,Do you feel that being identified as a person with a mental health issue would hurt your career?,Do you think that team members/co-workers would view you more negatively if they knew you suffered from a mental health issue?,How willing would you be to share with friends and family that you have a mental illness?,Have you observed or experienced an unsupportive or badly handled response to a mental health issue in your current or previous workplace?,Have your observations of how another individual who discussed a mental health disorder made you less likely to reveal a mental health issue yourself in your current workplace?,Have you ever sought treatment for a mental health issue from a mental health professional?,"If you have a mental health issue, do you feel that it interferes with your work when being treated effectively?","If you have a mental health issue, do you feel that it interferes with your work when NOT being treated effectively?",What is your age?,What is your gender?,What country do you live in?
0,Yes,Yes,No,No,Maybe,Yes,Yes,No,,,Yes,"Being honest upfront shows respect for the future employer. If they see that as a stumbling block in hiring you, then it probably wouldn't have been a good fit in the long run anyways.",Yes,Same reason as above.,"No, I don't think it would",Maybe,Very open,"Yes, I observed",Maybe,1,Sometimes,Often,28,Male,United States of America
0,Yes,No,Yes,No,No,No,No,No,,,No,It isn't relevant to my ability as a programmer.,No,It isn't relevant to my ability as a programmer.,"Yes, I think it would","Yes, I think they would",Not open at all,No,,1,Never,Rarely,34,Male,United States of America
0,Yes,No,No,No,Yes,Yes,Yes,No,,,No,Seems highly unlikely to be relevant,No,Also seems highly likely to be irrelevant at the point that I am in an interview. ,"No, it has not","No, they do not",Somewhat open,No,,1,Rarely,Sometimes,30,Female,United States of America
0,Yes,Yes,No,No,No,Maybe,Yes,No,,,Yes,I might have special needs that would be impossible to hide.,No,Too private.,Maybe,"Yes, I think they would",Not open at all,"Yes, I experienced",Maybe,0,Not applicable to me,Sometimes,44,Male,Canada
0,Yes,No,No,No,Yes,Yes,No,No,,,No,Because of the potential for discrimination,No,Because Of the potential for discrimination,"No, it has not","No, they do not",Somewhat open,No,,1,Sometimes,Sometimes,35,Male,United States of America
0,I don't know,No,Maybe,Maybe,Maybe,Maybe,I don't know,No,,,Maybe,I don't think it's appropriate to discuss those issues during early interviews. I'd wait to discuss with HR after I have a feel for what's going on.,Maybe,I don't think it's appropriate to discuss those issues during early interviews. I'd wait to discuss with HR after I have a feel for what's going on.,Maybe,Maybe,Neutral,No,,1,Rarely,Sometimes,52,m,United States of America
0,Not eligible for coverage / N/A,No,Maybe,No,Maybe,Maybe,No,No,,,Yes,,No,I have found their reaction to be a good indicator of whether our ideals are aligned / whether it's a good fit for me as a workplace.,"Yes, it has","No, I don't think they would",Very open,"Yes, I experienced",Yes,1,Sometimes,Often,32,I identify as female.,Canada
0,No,No,Maybe,No,Yes,Maybe,No,No,,,No,,No,,Maybe,Maybe,Somewhat open,Maybe/Not sure,Maybe,0,Not applicable to me,Not applicable to me,34,Male,United Kingdom
1,,,,,,,,,"No, because it would impact me negatively",Yes,No,,No,bad idea ,"Yes, it has","Yes, they do",Somewhat not open,"Yes, I observed",Yes,1,Often,Often,25,female ,United States of America
0,I don't know,No,Yes,No,No,No,Yes,No,,,Yes,Physical impairments aren't traditionally stigmatized. Far less judgements and resulting talk behind backs compared to mental,No,Stigmatized. Uncomfortable for both parties. Mental instability frowned upon in technical roles. ,"Yes, I think it would","Yes, I think they would",Somewhat not open,No,,1,Rarely,Sometimes,31,M,United States of America
0,No,No,No,No,Maybe,Yes,I don't know,No,,,Maybe,It might affect their opinion of me.,No,I feel it would definitely affect my chances at being accepted.,"Yes, I think it would","Yes, I think they would",Somewhat not open,Maybe/Not sure,Maybe,0,Not applicable to me,Not applicable to me,26,Male,United States of America
0,Yes,Yes,No,No,Maybe,Yes,I don't know,No,,,No,I don't have any,No,I don't have any,Maybe,Maybe,Neutral,No,,0,Not applicable to me,Not applicable to me,35,male,United States of America
0,Yes,No,Maybe,Maybe,Maybe,No,I don't know,No,,,Maybe,depends on the illness,Maybe,,Maybe,"No, I don't think they would",Neutral,No,,0,Not applicable to me,Not applicable to me,25,male,Germany
0,Yes,No,Maybe,No,Maybe,Maybe,I don't know,No,,,No,"Like all interviews, I feel like not putting your ""best foot"" forward puts you at a disadvantage.",No,I feel like this would put you out of the running for a position almost immediately. Or at least be used as a negative mark against you.,"Yes, I think it would",Maybe,Somewhat open,"Yes, I observed",Maybe,1,Sometimes,Often,33,Male,Canada
1,,,,,,,,,Not applicable to me,Not applicable to me,Maybe,Only if it would impact my performance to the job.,Maybe,"Again, only if it could effect my job performance",Maybe,"No, I don't think they would",Not applicable to me (I do not have a mental illness),N/A,,0,Not applicable to me,Not applicable to me,38,Male,United States of America
0,Yes,I don't know,No,No,Maybe,Maybe,Yes,No,,,Maybe,,Maybe,,Maybe,"No, I don't think they would",Very open,Maybe/Not sure,No,0,Not applicable to me,Not applicable to me,42,male,Germany
0,No,No,Yes,Yes,No,No,No,No,,,No,"I'm afraid I wouldn't be hired for the job, even when the physical issue would not have been relevant for my work.",Maybe,Same reason as above.,"Yes, I think it would","Yes, I think they would",Somewhat open,Maybe/Not sure,Yes,1,Rarely,Often,27,Male,Netherlands
0,I don't know,No,No,No,No,No,I don't know,No,,,Maybe,,No,,"Yes, I think it would","Yes, I think they would",Somewhat not open,Maybe/Not sure,No,1,Sometimes,Often,35,male,Germany
0,I don't know,Yes,Maybe,No,Maybe,Maybe,I don't know,Yes,,,Maybe,I'd be wary of them seeing potential time out for appointments etc as a negative,No,I think most employers would straight up discount me for that,"Yes, I think it would","No, I don't think they would",Neutral,"Yes, I observed",Yes,1,Sometimes,Often,34,female,United Kingdom
0,Not eligible for coverage / N/A,No,No,No,Yes,Yes,Yes,No,,,No,I wouldn't want to be judged against someone healthy,No,See above,"Yes, I think it would","Yes, I think they would",Somewhat not open,"Yes, I observed",Maybe,1,Sometimes,Often,32,Bigender,United Kingdom
0,Not eligible for coverage / N/A,No,Maybe,No,Maybe,Maybe,No,No,,,Maybe,Depending on the exact nature of the issue I might think they wouldn't want to hire me,Maybe,Depending on the exact nature of the issue I might think they wouldn't want to hire me,"Yes, I think it would",Maybe,Very open,Maybe/Not sure,No,1,Rarely,Often,32,non-binary,Germany
0,Yes,No,No,No,Yes,Yes,Yes,No,,,No,Seems unnecessary,No,Seems unnecessary. It's asinine to bring up unnecessary conversation ever. ,"No, I don't think it would","No, they do not",Very open,No,,1,Often,Sometimes,30,Male,United States of America
0,I don't know,No,Maybe,No,No,Maybe,No,No,,,No,It doesn't have any bearing on my ability to accomplish the job when properly coped with.,No,"Again, when properly coped with it shouldn't affect my ability to do the job. I expect, as with physical health issues, I'll be allowed time needed when coping is necessary.",Maybe,Maybe,Somewhat open,No,,0,Rarely,Often,31,Male,United States of America
1,,,,,,,,,"Sometimes, if it comes up",Yes,No,Completely dependant on the relevance of the mental health issue and it's impact on the work being applied for. ,Maybe,Same as before ,Maybe,Maybe,Somewhat open,No,,0,Not applicable to me,Not applicable to me,37,Male ,Czech Republic
0,Yes,No,No,No,Maybe,Yes,Yes,No,,,Yes,It's good to be upfront about everything.,Yes,It's no different from a physical health issue. If it can potentially affect my performance then I should be clear.,"No, I don't think it would","No, I don't think they would",Somewhat not open,Maybe/Not sure,No,0,Not applicable to me,Sometimes,36,Male,United Kingdom
0,No,No,Maybe,No,No,No,I don't know,Yes,,,No,I don't think is the place nor the time for this,No,same as before,"Yes, I think it would","Yes, I think they would",Somewhat open,No,,0,Not applicable to me,Not applicable to me,33,Male,Germany
0,Yes,No,No,No,Yes,Maybe,Yes,No,,,Yes,"These days I'm more comfortable expressing anything that could be a factor in getting work done. It helps me screen employers: if anything is an insurmountable problem for them, then it is clearly not a place I want to work.",Yes,"Same answer as for physical health issues, though admittedly I'm a little slower to bring up mental health concerns due to stigma fears.",Maybe,Maybe,Somewhat open,"Yes, I experienced",No,1,Sometimes,Often,44,Male,United States of America
0,No,No,No,No,Yes,Yes,Yes,No,,,Maybe,,Maybe,,Maybe,"Yes, I think they would",Somewhat open,"Yes, I observed",Yes,0,Never,Sometimes,29,male,United Kingdom
0,No,Yes,No,No,Maybe,Yes,I don't know,No,,,Yes,,Maybe,,Maybe,"No, I don't think they would",Very open,No,,1,Rarely,Sometimes,29,male,United Kingdom
0,Yes,I don't know,Maybe,No,Yes,Yes,I don't know,Yes,,,Yes,The employer needs to know that I would need support in order to do my best work for them,Yes,Because my employer needs to support me in order to get the best work possible from me,Maybe,Maybe,Very open,"Yes, I observed",No,0,Not applicable to me,Not applicable to me,44,Male,Canada
1,,,,,,,,,"Sometimes, if it comes up",Yes,Maybe,"An employer weighs the impact to quality/availability of work and the cost to productivity as well as the cost (in my case) to ensure that I have the proper equipment (I'm obese).  Unfortunately, it's not something that's avoidable for the employer to notice.",No,"In most regards it doesn't concern the employer, if it becomes an issue then I'd be willing to discuss it.","Yes, I think it would","No, I don't think they would",Somewhat open,"Yes, I observed",Maybe,0,Rarely,Sometimes,34,Male,United States of America
0,Yes,No,No,No,Maybe,Yes,No,No,,,Maybe,"For me, it depends on how the interview is going - if it's clear that it's a dead end, I would not bring it up.",Maybe,"For me, it depends on how the interview is going - if it's clear that it's a dead end, I would not bring it up.","No, I don't think it would","No, I don't think they would",Somewhat open,Maybe/Not sure,No,1,Rarely,Sometimes,40,male,United States of America
0,Yes,No,Yes,Maybe,Yes,Yes,No,No,,,Maybe,Depends on the social perception of the issue.,No,Too easy to map mental health to ability to do the job.,Maybe,Maybe,Very open,Maybe/Not sure,No,1,Often,Often,46,Female assigned at birth ,Netherlands
1,,,,,,,,,"Sometimes, if it comes up",Yes,Yes,,No,,"Yes, I think it would","No, I don't think they would",Somewhat open,"Yes, I experienced",No,1,Sometimes,Often,28,M,Lithuania
0,No,No,Maybe,No,No,No,No,No,,,No,,No,,"Yes, I think it would","Yes, I think they would",Somewhat open,No,,0,Not applicable to me,Not applicable to me,41,Male,United States of America
0,Yes,I don't know,Maybe,Maybe,Maybe,Maybe,No,No,,,No,Seems like it would deter them from hiring me.,No,Seems like it would deter them from hiring me.,"Yes, I think it would","Yes, I think they would",Somewhat open,"Yes, I experienced",Yes,1,Sometimes,Often,33,male,United States of America
1,,,,,,,,,"Sometimes, if it comes up",Yes,Yes,I would bring up a physical health issue with a prospective employer if I were to find that the job required tasks that I was unable to complete or safely attempt that could cause injury to myself or others. ,Maybe,"I think the only time would be with ""on call"" work (i.e. Being available 24/7 with no set schedule) as this causes far too much stress in my life. I refuse, and have quit, jobs that rely on this method. The job that I quit was promised to have a schedule in the interview.","No, I don't think it would",Maybe,Very open,"Yes, I observed",No,1,Rarely,Often,32,Male,United States of America
0,I don't know,No,Maybe,No,No,Maybe,I don't know,No,,,Maybe,"If the issue would impact my performance without some form of concessions/consideration on the party of the employer, I would, otherwise I wouldn't. ",Maybe,"There's likely nothing they could do to mitigate any performance problems as a result of a mental health issue, so I probably wouldn't discuss. ",Maybe,Maybe,Somewhat not open,No,,0,Not applicable to me,Sometimes,45,Male,United States of America
1,,,,,,,,,Not applicable to me,Yes,Yes,"Because I'd want to know if they can provide an ergonomic keyboard, or are happy with a worker plugging their own keyboard into their computers.",Yes,Would want to know if management support is going to work.,"No, I don't think it would",Maybe,Neutral,Maybe/Not sure,N/A,1,Not applicable to me,Not applicable to me,43,male,United Kingdom
0,Yes,No,No,No,Yes,Maybe,I don't know,No,,,No,None of their business,No,Not related to my qualifications or skills,Maybe,Maybe,Somewhat open,No,,1,Often,Often,37,F,United States of America
0,No,No,Maybe,Maybe,No,No,I don't know,No,,,No,,No,,"Yes, it has",Maybe,Neutral,Maybe/Not sure,No,1,Sometimes,Often,37,M,Australia
0,Yes,No,Maybe,Maybe,Yes,Yes,I don't know,No,,,Yes,,Yes,,Maybe,Maybe,Somewhat open,Maybe/Not sure,No,0,Not applicable to me,Not applicable to me,27,Male,United States of America
1,,,,,,,,,Not applicable to me,Not applicable to me,Yes,simply because it's important for them to be aware of the situation when I would have physical issues.,Maybe,"mental issues are a bit stigmatic, everyone knows it's there but no-one wants to deal with it. A broken leg isn't that big a deal, but a broken mind is abstract.",Maybe,"No, I don't think they would",Not applicable to me (I do not have a mental illness),N/A,,0,Not applicable to me,Not applicable to me,31,Male,Netherlands
0,Yes,No,Maybe,Maybe,Maybe,Yes,Yes,No,,,Maybe,"I understand that, while they might consciously not act differently if I had a physical issue, I'm not at all convinced that people in tech, even those who know what Cognitive Dissonance means, will actually take steps to avoid it.",No,"I understand that, while they might consciously not act differently if I had a mental health issue, I'm not at all convinced that people in tech, even those who know what Cognitive Dissonance means, will actually take steps to avoid it.  Furthermore, there's a huge stigma behind it.",Maybe,"No, I don't think they would",Neutral,"Yes, I experienced",Yes,1,Never,Sometimes,36,Male,United States of America
0,Yes,No,Maybe,No,Maybe,Maybe,I don't know,No,,,Maybe,"Because, if it were a physical health issue that might affect my job performance, it'd be difficult to hide and a potential might resent the fact that I wasn't forthcoming about it in an interview.",No,"Because, if it were a mental health issue that might affect my job performance, it may be easy to hide, while being forthcoming about it might impact my likelihood to get the job in the first place.","Yes, I think it would",Maybe,Neutral,No,,1,Rarely,Often,34,Male,United States of America
0,Yes,Yes,Maybe,Maybe,Yes,Yes,I don't know,No,,,No,It's too early - I don't want to discuss potential deal breakers until they've decided they want me. ,No,Same reasons. ,Maybe,"No, I don't think they would",Somewhat not open,No,,0,Not applicable to me,Not applicable to me,31,Woman,United States of America
0,Yes,No,No,No,Yes,Yes,Yes,No,,,Maybe,,Maybe,,Maybe,"No, I don't think they would",Somewhat open,No,,1,Rarely,Often,30,Male,United States of America
0,Yes,No,Maybe,No,Maybe,Yes,No,No,,,Yes,,No,,"Yes, I think it would",Maybe,Somewhat not open,Maybe/Not sure,Maybe,0,Sometimes,Often,32,Male,Canada
0,Yes,No,No,No,No,Maybe,I don't know,No,,,Maybe,It would depend on the issue and the employer.,No,The stigma of the topic.,"No, I don't think it would",Maybe,Somewhat not open,No,,0,Not applicable to me,Not applicable to me,40,female,United States of America
0,I don't know,No,Maybe,No,Maybe,No,I don't know,No,,,Yes,I wouldn't want to risk leaving a current job position for one where such things could be an issue.,Maybe,"If it got in the way of work, it if I needed some accommodation, I would, but, otherwise, it wouldn't seem worth it.",Maybe,"No, I don't think they would",Not applicable to me (I do not have a mental illness),No,,0,Not applicable to me,Not applicable to me,40,Male,United States of America
0,Yes,Yes,No,No,Maybe,Yes,No,No,,,Maybe,"if the physical issue is obvious at work, it's better not to try to hide.",Maybe,"same thing: If it has impact or if it's visible at work, why trying to hide.","Yes, I think it would","Yes, I think they would",Somewhat open,Maybe/Not sure,Maybe,0,Sometimes,Sometimes,41,man,France
0,Not eligible for coverage / N/A,No,Yes,No,No,Maybe,No,No,,,Yes,If it were relevant to the role I would mention it,Maybe,"If it would have a direct impact on my ability to perform the role I would feel compelled to mention it, but depending on how understanding I expected the employer to I might not, due to the negative consequences. ","Yes, I think it would","Yes, I think they would",Somewhat open,Maybe/Not sure,Yes,1,Rarely,Often,27,Male,United Kingdom
0,Yes,No,No,No,Yes,Yes,I don't know,No,,,Maybe,,Maybe,,Maybe,"No, I don't think they would",Somewhat open,"Yes, I observed",N/A,0,Not applicable to me,Not applicable to me,30,Male,United States of America
1,,,,,,,,,Not applicable to me,Not applicable to me,No,No because it might not get me the job ,No,Won't get the job. ,"Yes, I think it would","Yes, I think they would",Neutral,"Yes, I observed",Yes,0,Not applicable to me,Not applicable to me,29,Male,Venezuela
1,,,,,,,,,Not applicable to me,Not applicable to me,No,Disclosing that cannot help you get the job,No,Disclosing that cannot help you get the job,Maybe,Maybe,Somewhat not open,No,,0,Not applicable to me,Not applicable to me,38,Male,United Kingdom
1,,,,,,,,,Not applicable to me,Not applicable to me,No,None of their business.,No,,"No, I don't think it would","No, I don't think they would",Not applicable to me (I do not have a mental illness),N/A,,0,Not applicable to me,Not applicable to me,35,male,Netherlands
0,No,No,Maybe,No,Maybe,Maybe,No,Yes,,,Yes,,No,,"Yes, I think it would","Yes, I think they would",Somewhat open,"Yes, I experienced",Yes,1,Rarely,Often,35,female,United States of America
0,Yes,Yes,Maybe,Maybe,No,No,I don't know,No,,,Yes,,No,Interviews are largely about knowledge / mental capacity. Could be seen as a weaker mental capacity.,"Yes, I think it would","Yes, I think they would",Somewhat open,"Yes, I observed",Yes,1,Often,Often,29,M,United States of America
0,Yes,No,Maybe,Maybe,No,Maybe,I don't know,No,,,Maybe,,No,,"Yes, I think it would",Maybe,Somewhat open,No,,0,Not applicable to me,Not applicable to me,28,Male,United States of America
0,No,No,No,No,No,Yes,Yes,No,,,No,It should not effect they way how I work. So it should not have any negative things for the new boss,No,It should not effect they way how I work. So it should not have any negative things for the new boss,Maybe,"Yes, I think they would",Very open,No,,1,Rarely,Often,27,Male,Netherlands
1,,,,,,,,,"Sometimes, if it comes up",No,Yes,because it might affect my working hours (visiting doctors etc),Maybe,Only if it would affect my work somehow,Maybe,"No, I don't think they would",Not applicable to me (I do not have a mental illness),Maybe/Not sure,Maybe,1,Not applicable to me,Not applicable to me,39,Male,Poland
0,Yes,No,No,No,Maybe,Maybe,I don't know,No,,,Yes,To be honest I guess and not to end up with suprises,Maybe,Might have negative influence on getting a job or not,Maybe,Maybe,Somewhat open,No,,0,Not applicable to me,Not applicable to me,28,male,Belgium
0,I don't know,No,Yes,Maybe,No,No,No,No,,,No,Could only hurt my chances,No,Could only hurt my chances,"Yes, I think it would","Yes, I think they would",Not open at all,No,,0,Not applicable to me,Not applicable to me,46,Male,United States of America
0,No,No,No,No,Yes,Yes,I don't know,No,,,Yes,Honesty works.,Yes,Again: honesty.,Maybe,"No, I don't think they would",Very open,No,,1,Not applicable to me,Not applicable to me,40,male,Netherlands
0,Yes,No,No,No,Maybe,Yes,Yes,No,,,Maybe,"For physical health issues that may not impact my  daily job, I don't feel the need to divulge them to a prospective employer.",No,I feel uncomfortable discussing such issues with someone I've just met.,Maybe,"No, I don't think they would",Somewhat open,No,,0,Not applicable to me,Sometimes,37,Male,United States of America
0,No,No,No,No,Maybe,Yes,I don't know,No,,,Maybe,,No,"Don't know, feeling",Maybe,"No, I don't think they would",Somewhat open,No,,0,Not applicable to me,Not applicable to me,41,Male,Netherlands
1,,,,,,,,,"No, because it would impact me negatively",Unsure,No,He could choose to not hire me because of that ,No,,"No, I don't think it would","Yes, I think they would",Somewhat open,Maybe/Not sure,Yes,0,Not applicable to me,Not applicable to me,19,M,France
0,I don't know,No,No,No,Yes,Maybe,Yes,No,,,Maybe,"depends if it is relevant. If it's none of their business, then not.",Maybe,It's a weakness; and you mostly want to talk about your strenghts,Maybe,"No, I don't think they would",Somewhat open,No,,0,Not applicable to me,Not applicable to me,38,F,Netherlands
0,I don't know,No,Maybe,No,No,No,No,No,,,Yes,Companies are more equipped to accommodate physical health issues and it looks bad if they don't. ,No,I don't think companies are able or willing to deal with a mental health issue. I feel like bringing it up Cottle negatively affect the decision to hire me. ,Maybe,Maybe,Neutral,No,,0,Not applicable to me,Not applicable to me,33,Male ,United States of America
0,Yes,No,No,No,Maybe,Yes,Yes,No,,,Yes,I would prefer be honest and up-front rather than find out the employer is not supportive down the road,Maybe,"Again, to ensure that the employer is not going to turn out to be unsupportive of employee needs.",Maybe,"No, I don't think they would",Very open,No,,1,Rarely,Sometimes,33,Male,United States of America
0,Yes,No,No,No,Maybe,Yes,I don't know,No,,,No,I wouldn't know whether it would affect my changes of getting the job.,No,I wouldn't know whether it would affect chances of getting employed.,Maybe,Maybe,Somewhat open,No,,0,Not applicable to me,Not applicable to me,21,male,United Kingdom
0,No,No,Maybe,Maybe,No,No,I don't know,Yes,,,No,I live in a country where they only care about what physicians tell them in a pre-contract exam.,No,"I don't think they would hire me, in the first place.",Maybe,Maybe,Somewhat not open,"Yes, I experienced",Yes,0,Often,Often,36,Male,Brazil
1,,,,,,,,,"Sometimes, if it comes up",Yes,Maybe,Depends if it affected the job,No,Only if I felt it would impact my productivity,Maybe,Maybe,Somewhat not open,"Yes, I observed",Yes,1,Never,Sometimes,39,Male,Canada
0,I don't know,No,No,No,Maybe,Yes,Yes,No,,,Yes,"If it relates to workspace design (eg, special ergonomic needs) or necessary schedule (eg, can't work for 8 hours straight)",Maybe,"If it relates to schedule availability, etc.  (Eg, can't work during certain hours, need frequent breaks, etc.)","No, I don't think it would","No, I don't think they would",Somewhat open,No,,0,Not applicable to me,Not applicable to me,35,Male,United States of America
1,,,,,,,,,"Sometimes, if it comes up",Unsure,No,,No,,Maybe,Maybe,Very open,Maybe/Not sure,No,1,Rarely,Sometimes,36,male,France
0,Yes,No,Maybe,No,No,Maybe,No,No,,,Maybe,"If the health issue would not impact my performance, then I may not bring it up. ",Yes,I would bring up any issue that would affect my performance of that jobs duties ,Maybe,Maybe,Somewhat not open,"Yes, I experienced",N/A,0,Not applicable to me,Not applicable to me,45,Male,United States of America
0,I don't know,No,Maybe,No,Maybe,Maybe,No,No,,,Yes,,No,Mental health is still viewed as a taboo.,"Yes, I think it would",Maybe,Somewhat open,No,,0,Not applicable to me,Rarely,41,Male,Canada
0,I don't know,No,Maybe,No,No,No,No,No,,,Maybe,,Maybe,"I would be worried that it might affect my job application even though I am aware that they are not legally allowed to do so. However, it would be difficult to determine / prove if that was the case or not.","Yes, it has","Yes, they do",Neutral,"Yes, I experienced",No,1,Sometimes,Often,35,Male,United Kingdom
1,,,,,,,,,"Yes, always",Yes,Yes,,Maybe,,"No, I don't think it would","No, they do not",Somewhat open,No,,1,Sometimes,Often,30,Male,United States of America
0,I don't know,Yes,No,No,Maybe,Maybe,Yes,No,,,No,Because it can be seen as a weakness and they may chose another applicant over me because of it.,No,Because it can be seen as a weakness and they may chose another applicant over me because of it.,"No, I don't think it would","No, I don't think they would",Very open,No,,1,Sometimes,Often,24,Female,United States of America
0,No,No,Maybe,No,No,No,I don't know,No,,,Maybe,Only would do it if I would believe it would have impact on my productivity.,No,Not sure how the employer would see the problem there's no information available for them or on the mental problems and how to deal with it.,Maybe,Maybe,Somewhat open,N/A,,1,Never,Sometimes,33,Male,Brazil
0,Yes,I don't know,Maybe,Maybe,Maybe,Maybe,I don't know,No,,,No,bias,No,bias,"Yes, I think it would","Yes, I think they would",Somewhat not open,No,,1,Rarely,Often,35,male,United States of America
0,No,Yes,No,No,Maybe,Yes,Yes,No,,,Yes,Transparency,Maybe,Stigma,Maybe,Maybe,Somewhat open,Maybe/Not sure,No,0,Rarely,Sometimes,26,Male,United Kingdom
0,No,No,Yes,No,No,Yes,No,Yes,,,Yes,Starting a job hiding something like this can be a really bad way to get the trust of the employees. ,Yes,Same response as the physical one.,Maybe,"Yes, I think they would",Not open at all,"Yes, I observed",Yes,0,Never,Sometimes,17,male,Brazil
0,I don't know,No,No,No,Maybe,Yes,I don't know,No,,,Maybe,,Maybe,,Maybe,Maybe,Somewhat open,N/A,,1,Sometimes,Often,29,Female,United States of America
0,Yes,No,No,No,Maybe,Maybe,I don't know,No,,,Yes,,No,"My mental health issues are manageable outside
Of work, mostly, so I don't bring them up ","No, I don't think it would",Maybe,Somewhat open,No,,1,Rarely,Often,26,Male,United States of America
